gender,category_name,question,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,grade,comment
여,긍정적자아상,엄마는 나를,사랑한다,,,,,,상,"어머니의 사랑에 대해 알고 있고, 어머니와 안정적인 애착을 형성하고 있다. "
여,진로의사결정능력 및 진로설계와 준비,내가 원하는 직업을 갖기 위해 현재 하고 있는 노력은 _______________________이다.,수업시간에 공부를 열심히 하고 선생님 말씀을 잘 듣는 것,,,,,,중,"원하는 직업을 갖기 위한 현재 진로준비행동에 대해 인식하고 있으나, 학생의 역할에 대해서만 언급하였다. 원하는 진로대안과 관련지어 현재 수준에서 어떤 진로준비행동을 할 수 있을지에 대한 탐색이 필요하다. "
남,직업세계이해 및 건강한 직업의식,내 생각에 좋은 직업이란,하고싶은 일을 하는 것이다,,,,,,상,"적성, 흥미 등의 내적 가치에 초점을 맞춘 직업 가치관을 가지고 있다. 학생이 하고 싶은 일은 무엇인지 살펴보고 아직 불확실하다면, 학생의 진로 흥미를 살펴보는 것에서 부터 시작하여 관련된 진로 분야를 탐색하는 것까지 차근차근 진로 발달을 할 수 있도록 개입할 필요가 있다."
남,교육기회 및 직업정보 탐색능력,초등학교를 졸업하면,중학교에 간다,,,,,,중,"중학교 진학에 대해서 특별한 생각이 없으며, 당연하고 일상적인 일로 받아들이고 있다. 중학교 생활에 대해 기대되는 것이나 걱정되는 부분이 있는지 살펴보고 자신의 진로를 발전시켜 나가는 기회로 인식할 수 있도록 도울 필요가 있다."
남,대인관계 및 의사소통 역량,"친구들과 의견이 다를 때, 나는",가위바위보를 한다,,,,,,중,서로 다른 의견을 조율하기 보다 단순한 방법으로 결정을 내리고 있다. 의견이 다를 때 합의점이 찾아야 함을 알려줄 필요가 있다. 또한 자신과 친구의 의견을 조율하기 위해 필요한 의사소통 방법을 안내하는 것도 도움이 되겠다.
여,직업세계이해 및 건강한 직업의식,"내가 닮고 싶은 사람은 _________이고, 그 이유는 _________________이다.",간호사,꿈이 간호사 이기 때문,,,,,중,"역할모델을 구체적 인물로 표현하지 않았으나, 직업목표와 관련이 있다. "
여,진로의사결정능력 및 진로설계와 준비,내가 원하는 직업을 갖기 위해 현재 하고 있는 노력은 _______________________이다.,공부하는것,,,,,,중,학생의 역할 이외에 꿈을 이루기 위해 필요한 구체적인 방법들에 대한 탐색이 필요하다.
여,미래에 대한 기대,앞으로 가장 기대되는 것은 __________________________________이다.,내 수능점수,,,,,,상,진로와 관련된 미래에 대해 긍정적인 기대를 가지고 있다.
여,교육기회 및 직업정보 탐색능력,내가 공부를 하는 이유는,내가 선택할수 있는 직업이 많아지면 좋기 때문이다,,,,,,상,진로와 공부를 하는 이유를 잘 연결지어 구체적으로 표현하고 있다.
여,긍정적자아상,아빠는 나를,혼낸다,,,,,,하,아빠와의 관계에서 자신을 긍정적으로 인식하지 못하고 있다. 아빠와의 관계를 어떻게 느끼고 있는지 더 탐색이 필요해 보인다. 
여,진로의사결정능력 및 진로설계와 준비,"나는 커서 ①______________가 되고 싶다. 그 이유는 ____________________이다.
나는 커서 ②______________가 되고 싶다. 그 이유는 ____________________이다.
나는 커서 ③______________가 되고 싶다. 그 이유는 ____________________이다.",영어선생님,영어를 좋아하기 때문이다,중국어선생님,중국어를 잘하기때문,건축가,미술을 좋아해서,상,"원하는 직업과 이유가 구체적이며 기존에 언급하였던 영어, 중국어에 대한 흥미, 적성과 미술에 대한 흥미가 반영되어 있다. "
여,긍정적자아상,나는 ___________________________(한) 사람이다.,남자 성격인,,,,,,중,자신의 특성에 대해 남자 성격이라는 용어로 중립적으로 표현하고 있다.
남,미래에 대한 기대,앞으로 가장 기대되는 것은 __________________________________이다.,모든 것,,,,,,중,"앞으로의 미래에 대한 기대가 구체적이지 않으며, 진로와의 관련성이 다소 떨어진다.  "
남,대인관계 및 의사소통 역량,나에게 친구란,나와 같이 하고 나와 같이 성장 하는 것,,,,,,상,"또래와의 관계의 중요성을 알고 있으며, 친구에 대해 긍정적으로 인식하고 있다."
남,교육기회 및 직업정보 탐색능력,초등학교를 졸업하면,중학생이 된다,,,,,,중,중학생이 되는 것과 자신의 미래를 위한 좀 더 구체적인 준비와 노력을 연결 지어 이해하는 것이 필요하다.
남,대인관계 및 의사소통 역량,학교에서 친구들과 이야기를 나누는 것은 나에게,재미이다,,,,,,상,친구와 이야기 나누는 경험을 긍정적으로 보고하고 있어 기본적으로 친구 관계를 통해 즐거움을 누리고 있는 것으로 파악된다.
여,진로의사결정능력 및 진로설계와 준비,"나는 커서 ①______________가 되고 싶다. 그 이유는 ____________________이다.
나는 커서 ②______________가 되고 싶다. 그 이유는 ____________________이다.
나는 커서 ③______________가 되고 싶다. 그 이유는 ____________________이다.",돈 많은 백수,편하기 때문,평범한 사람이,딱 적당하기 때문,내,난 완벽하기 때문,하,현재 자신이 가지고 있는 진로 대안이 구체적이지 못하다. 진로와 관련하여 어떠한 꿈을 가지고 있는 지에 대해 탐색할 필요가 있다. 또한 세 가지 답변 간 일관성이 없는 내용들로 기재가 되어 있어 그 부분에 대해서도 확인할 필요가 있다. 
여,대인관계 및 의사소통 역량,학교에서 친구들과 이야기를 나누는 것은 나에게,재미,,,,,,중,"친구들과의 의사소통에 대해서는 긍정적인 단어로 표현하고 있으나, 구체적이지는 않다. 10번 문항과 관련하여 학교에서의 생활과 친구관계에 대해 탐색할 필요가 있다. "
여,자기이해,내가 가장 소중하게 여기는 것은,내 물건이다,,,,,,중,"소중하게 여기는 물건이라고 응답하였으나, 그 물건에 대해 자세하게 응답하지는 않았다. 소중하게 여기는 물건이 어떤 것인지, 소중하게 여기는 이유가 무엇인지 등에 대해서 탐색할 필요가 있다.  "
여,긍정적자아상,나의 장점은,상상력?,,,,,,중,"스스로의 장점에 대해 인식하고 있으나, 물음표로 응답을 한 부분에 있어 탐색이 더 필요하다. "
여,긍정적자아상,나는 ___________________________(한) 사람이다.,열심히 하는,,,,,,상,"자신을 긍정적으로 인식하고 있으며, 구체적으로 표현하고 있다."
여,자기이해,내가 잘 하는 것은,"드럼 치기, 수학, 강아지랑 교감하는 것이다",,,,,,상,자신의 소질에 대하여 구체적이고 긍정적으로 응답하고 있다.
여,직업세계이해 및 건강한 직업의식,내 생각에 직업이 필요한 이유는,"돈을 벌기 위함과 서로의 필요한 것을 공유하고, 발전시키기 위해서이다",,,,,,상,"직업의 생계 유지, 사회적 기여 등의 역할에 대해 다양하게 인식하고 있다. "
여,교육기회 및 직업정보 탐색능력,내가 공부를 하는 이유는,성공하고 싶기 때문이다,,,,,,중,"진로와 공부를 하는 이유를 연결 짓고 있다.
한편, 일관되게 성취를 중요시하는 성향이 드러나고 있으므로 성공의 의미를 탐색해 볼 필요가 있다. "
남,자기이해,내가 좋아하거나 즐거워하는 활동은,"게임, 요리, 운동 입니다",,,,,,상,"자신이 흥미를 가진 영역과 함께 자신의 흥미에 대해 긍정적으로 지각하고 표현하였는데, 잘하는 것을 묻는 질문에 대한 응답과 일관된 내용이 보인다."
남,자기이해,내가 가장 소중하게 여기는 것은,우리 가족과 강아지이다,,,,,,상,사회적 관계 맥락 안에서 자신이 소중하게 여기는 것을 명확하게 인식하고 있다. 관계에 긍정적인 태도를 가지고 가치 있게 여기는 학생의 태도가 나타난다. 
여,진로의사결정능력 및 진로설계와 준비,"어떤 일을 할 때, 계획을 세우는 것은",싫다,,,,,,하,목표를 수립하기 위한 계획의 필요성과 장점을 인식하지 못하고 있으며 오히려 부정적으로 느끼고 있다. 
여,교육기회 및 직업정보 탐색능력,초등학교를 졸업하면,싫을것 같다,,,,,,하,"상급 학교로의 진학에 대해 부정적으로 지각하고 있다. 
초등학교 이후의 생활이 싫은 이유에 대하여 구체적인 탐색이 필요하다. "
남,자기이해,내가 좋아하거나 즐거워하는 활동은,"컴퓨터 조립, 컴퓨터 게임, 자동차를 보는 것",,,,,,상,컴퓨터 및 자동차에 대한 구체적인 관심이 일관되게 나타나고 있으며 해당 분야를 구체적으로 탐색할 수 있도록 도울 필요가 있다.
남,직업세계이해 및 건강한 직업의식,내 생각에 직업이 필요한 이유는,돈을 벌기 위함이다,,,,,,중,"생계 유지 목적에 초점을 두고 있으며, 다른 이유에 대해서도 알고 있는 지 탐색 필요하다."
여,자기이해,내가 가장 소중하게 여기는 것은,나의 가족들과 친구들이다,,,,,,상,자신과 사회적 관계의 맥락에서 소중한 것을 선택하고 있다. 친밀한 관계에 가치를 두고 있음을 알 수 있다.
여,미래에 대한 기대,부모님은 내가 커서 __________________이(가) 되기를 바라신다.,내가 하고 싶은걸 하는 사람,,,,,,상,부모님이 자신의 진로 결정 및 수행을 지지할 것이라는 긍정적인 기대와 신뢰를 가지고 있다.
여,직업세계이해 및 건강한 직업의식,내 생각에 좋은 직업이란,내가 하고싶은 일을 하며 남에게 도움을 주는 것이다,,,,,,상,"흥미와 사회 기여 등의 내적인 직업가치에 초점을 두고 있다. 
특히 타인을 돕는 것을 높게 평가하는 모습이 일관되게 드러난다. "
남,교육기회 및 직업정보 탐색능력,"관심 있는 직업에 대해 더 알고 싶을 때, 나는",일단 나무위키를 뒤진다,,,,,,상,직업에 대한 정보를 얻기 위해 스스로 인터넷을 활용할 수 있다. 정확한 진로 정보를 얻기 위해 또 다른 신뢰할만한 정보원을 활용하고 있는지 탐색이 필요하다.
남,진로의사결정능력 및 진로설계와 준비,내가 원하는 직업을 갖기 위해 현재 하고 있는 노력은 _______________________이다.,"매일 연습, FM 하기",,,,,,상,자신의 꿈을 이루기 위한 구체적인 노력을 매일 하고 있다. 
남,긍정적자아상,엄마는 나를,사랑하신다,,,,,,상,엄마의 사랑 가운데 긍정적 자아상을 형성하였을 가능성이 높다.
남,진로의사결정능력 및 진로설계와 준비,"진로에 관하여 부모님과 의견이 다를 때, 나의 해결방법은 __________________이다.",계속 마음에 두고 있는 것 또는 비슷한 직종의 직업으로 바꾸기,,,,,,상,"진로에 관하여 부모님과 의견이 다를 때 선택할 수 있는 대안 진로를 이미 생각해두고 있다. 이는 부모님과의 의견 차이를 객관적인 진로 장벽으로 인식하고 있다는 것을 의미하여 구체적인 탐색이 필요하다. 한편, 자신이 원하는 직업과 비슷한 특성을 가진 직업을 대안으로 선택할 수 있음을 생각하고 있어 의사 결정에 있어 융통성을 엿볼 수 있다."
남,자기이해,내가 좋아하거나 즐거워하는 활동은,축구를 하는 것이다,,,,,,상,자신이 좋아하는 활동도 축구라고 답하여 잘하는 것과 좋아하는 것이 일치하고 있다.
남,대인관계 및 의사소통 역량,학교에서 친구들과 이야기를 나누는 것은 나에게,행복이다,,,,,,상,학교에서 친구들과 대화하며 어울리는 것이 매우 큰 기쁨을 준다고 하여 교우 관계가 원만하고 친밀한 친구들과의 긍정적인 상호작용을 예상할 수 있다.
여,직업세계이해 및 건강한 직업의식,내 생각에 직업이 필요한 이유는,세상을 살아가야 하기 때문이다,,,,,,중,"직업의 필요성에 대해서 생계 유지에만 초점이 맞추어진 응답을 하고 있다. 자아 실현, 사회적 기여 등의 직업의 다양한 역할에 대해 인식하고 있는지 살펴보면 좋겠다. "
남,자기이해,내가 가장 소중하게 여기는 것은,부모님이다,,,,,,상,자신이 가장 소중히 여기는 것을 부모님이라고 응답하였는데 긍정적 자아상 영역의 응답과 같은 맥락에서 부모님과 긍정적이고 안정적인 관계를 맺고 있는 것으로 보인다. 그 밖에 소중히 여기는 다른 것이 있는지 추가로 살펴보면 학생이 추구하는 다양한 가치를 폭넓게 살펴볼 수 있을 것이다.
남,교육기회 및 직업정보 탐색능력,내가 공부를 하는 이유는,나중에 커서 공부해서 얻는 소득의 비율이 50% 이상이기 때문,,,,,,중,공부를 하는 이유에 대해서 소득과 관련된 답을 한 것으로 보아 진로와 연결하여 생각하고 있는 것으로 보인다. 다만 추가 질문을 통해 응답 내용이 무엇을 의미하는지 구체적으로 확인할 필요가 있다. 더불어 학생이 공부가 자신의 진로를 탐색하고 발달시키는 기회임을 알 수 있도록 도울 필요가 있겠다.
여,직업세계이해 및 건강한 직업의식,내 생각에 좋은 직업이란,내가 기쁨을 느낄 수 있는 직업,,,,,,상,"좋은 직업에 대해 기쁨이라는 내적 가치를 기준으로 언급하고 있다. 다만 언제 기쁨을 느끼는지, 이를 테면 자신의 흥미, 적성, 사회적 기여, 봉사, 보람, 물질 등 다양한 직업 가치를 통해 기쁨을 느끼는 상황에 대해 살펴보면 좋겠다. "
여,직업세계이해 및 건강한 직업의식,"내가 닮고 싶은 사람은 _________이고, 그 이유는 _________________이다.","엄마, 아빠",좋은 직업을 가지셨기 때문,,,,,중,"부모님을 역할모델로 언급하고 있으며, 이유로 좋은 직업을 들고 있다. 좋은 직업의 기준이 구체적으로 무엇이라고 생각하는지 살펴볼 필요가 있다."
남,대인관계 및 의사소통 역량,"부모님과 의견이 다를 때, 나는",부모님 의견을 따른다,,,,,,중,"부모와의 의견차이를 인정하고 있으나, 의견 차이를 좁히고 타협점을 찾으려 노력하기 보다 부모님의 의견을 따르는 편이다. "
남,자기이해,내가 가장 소중하게 여기는 것은,가족과 친구들이다,,,,,,상,"친구들과 가족을 가장 소중하게 여기는 것으로 보아, 개인뿐 아니라 사회적 관계를 중요한 가치로 인식하는 것으로 여겨진다. "
남,긍정적자아상,나의 장점은,친구들을 재미있게 해 주는 것이다,,,,,,상,자신의 장점이 무엇인지에 대해서 잘 인식하고 있다.
여,긍정적자아상,나는 ___________________________(한) 사람이다.,재밌고 착한,,,,,,상,"자신에 대해 재밌다, 착하다라는 긍정적인 표현을 사용하여 표현하였다. 자신을 긍정적으로 지각하고 있다. "
여,교육기회 및 직업정보 탐색능력,초등학교를 졸업하면,중학교에 갈 것이다,,,,,,중,"초등학교를 졸업한 후 중학교에 간다는 당위적인 표현만을 언급하고 있다. 중학교 진학 이후 기대, 학생의 포부 등을 더 탐색할 필요가 있다. "
여,진로의사결정능력 및 진로설계와 준비,"어떤 일을 할 때, 계획을 세우는 것은",특별한 경우에만 한다,,,,,,하,계획의 필요성과 장점에 대해 인식하지 못하고 있고 특별한 경우에만 한다고 하였다. 학생이 계획을 세워 본 경험에 대해 탐색해 볼 필요가 있다. 
여,직업세계이해 및 건강한 직업의식,"내가 닮고 싶은 사람은 _________이고, 그 이유는 _________________이다.",오빠,자유로운 영혼을 가지고 산다,,,,,중,자신이 닮고 싶은 역할 모델을 구체적인 인물로 표현하고 있으나 그 이유는 다소 모호하게 표현하였다. 자유로운 영혼을 가지고 있다는 의미는 무엇인지 더 탐색할 필요가 있다. 
여,진로의사결정능력 및 진로설계와 준비,내가 원하는 직업을 갖기 위해 현재 하고 있는 노력은 _______________________이다.,공부를 열심히 하고 있다,,,,,,중,희망하는 꿈을 위한 현재의 진로준비행동으로 공부라는 학생의 역할에 대해서만 언급하고 있다. 희망하는 꿈을 위해 현 단계에서 할 수 있는 구체적인 진로준비행동을 탐색할 필요가 있다. 
여,직업세계이해 및 건강한 직업의식,내 생각에 직업이 필요한 이유는,"어른이 되서 돈을 벌고 직업이 내가 원하는 것 이라면, 원하는 것을 하기 위해서...",,,,,,상,직업에 대하여 생계 유지와 자아 실현의 역할을 인식하고 있어서 성숙한 의식을 확인할 수 있다. 사회적 기여와 관련된 역할에 대해서도 인식하고 있는지 살펴보면 좋겠다.  
여,미래에 대한 기대,앞으로 가장 기대되는 것은 __________________________________이다.,중학교 입학해서 친구 만들기,,,,,,중,앞으로 가장 기대되는 일에 대해서 중학교에 입학해서 친구를 만들기라고 답하였다. 비교적 단기적이고 가까운 미래에 대한 기대를 응답하였는데 중학교에서 친구를 만드는 것이 왜 가장 기대되는 것인지 추가 탐색이 필요해보인다. 또한 진로와 관련해서 또 다른 기대되는 바는 없는지 살펴볼 필요가 있겠다.
여,자기이해,"내가 좋아하는 과목은 _________이고, 그 이유는 ___________________이다.","미술, 국어, 사회",그림 그리기가 좋고 배우기 쉽고 글 읽기가 좋고 필기하기 좋기 때문,,,,,상,"좋아하는 과목을 미술, 국어, 사회라고 답하였고 각 과목을 좋아하는 이유에 대해서도 구체적으로 기술하였다. 미술 이외에 국어나 사회에도 흥미를 가지고 있는 것으로 보이는데 그 이유를 탐색하면 학생의 흥미 및 특성을 다양하게 살펴볼 수 있을 것으로 보인다."
남,교육기회 및 직업정보 탐색능력,내가 공부를 하는 이유는,나중에 먹고 살아야 하기 때문입니다,,,,,,중,"공부를 하는 이유와 진로에 대해 잘 연결지어 표현하고 있으나, 공부가 나중에 먹고사는데 어떻게 도움이 되는지에 대해서는 구체적으로 표현하지 못하고 있다. "
남,자기이해,내가 잘 하는 것은,복싱 입니다,,,,,,상,소질과 적성을 구체적으로 잘 이해하고 있으며 긍정적으로 인식하고 있는 편이다.
여,진로의사결정능력 및 진로설계와 준비,"나는 커서 ①______________가 되고 싶다. 그 이유는 ____________________이다.
나는 커서 ②______________가 되고 싶다. 그 이유는 ____________________이다.
나는 커서 ③______________가 되고 싶다. 그 이유는 ____________________이다.",성악가,유일한 재능이 노래여서,심리상담가,공감하는 것이 즐거워서,가수,"영화 OST나 더빙, 노래 부르는 것이 좋아서",상,"흥미와 적성을 고려하여 희망 진로를 응답하고 있다. 
앞서 자신에 대해 장점이 없고 잘 하는 것이 무엇인지 모르겠다고 응답한 것과는 달리 희망진로에서는 노래에 대한 흥미와 적성이 드러나고 있다. 
한편 심리상담에 대한 부분은 처음 언급되므로 살펴보면 좋겠다. "
